AAL,AAL_vol,AAL_high,AAL_low,positive,neutral,negative
-0.05416425748650997,113054800,18.72999954223633,16.75,3771.0,8348.0,3575.0
-0.019596194816859633,49436000,17.32999992370605,16.32999992370605,335.0,362.0,187.0
-0.015069318728185921,39287800,17.26000022888184,16.54999923706055,704.0,510.0,288.0
0.0573863753971974,61414800,17.71999931335449,16.48999977111816,980.0,966.0,697.0
-0.011494296972654403,37606800,17.59000015258789,17.30999946594238,553.0,877.0,241.0
-0.012216351247726217,30910200,17.67000007629395,17.06999969482422,644.0,1350.0,604.0
0.03263927455064567,44177500,18.09000015258789,17.23999977111816,107.0,110.0,70.0
-0.018922013394529938,29972900,17.76000022888184,17.34000015258789,14.0,98.0,36.0
-0.0017231870711343392,28503000,17.68000030517578,17.27000045776367,48.0,115.0,59.0
-0.024720428602236964,38746400,17.39999961853027,16.79000091552734,54.0,103.0,12.0
0.01621312560646948,27522500,17.48999977111816,16.92000007629395,97.0,34.0,48.0
0.030864155245765607,33615500,17.89999961853027,17.51000022888184,71.0,19.0,0.0
0.009449698635731304,35475700,18.34000015258789,17.47999954223633,37.0,38.0,96.0
-0.015810316268790373,26328200,17.97999954223633,17.45000076293945,67.0,53.0,125.0
0.05192725936060918,48663800,18.82999992370605,17.78000068664551,144.0,175.0,28.0
0.0861056840947379,99937700,21.11000061035156,19.30999946594238,27.0,86.0,26.0
0.010648563164536806,78817600,21.04999923706055,18.73999977111816,71.0,117.0,80.0
0.05316223023079443,74610200,22.1200008392334,20.75,153.0,83.0,4.0
-0.04602104776527524,65571000,22.44000053405762,20.3799991607666,144.0,350.0,51.0
0.0038204356096336696,42397300,21.43000030517578,20.34000015258789,230.0,281.0,54.0
0.011331433789427825,45406100,22.29000091552734,21.04999923706055,65.0,65.0,3.0
0.012126876045027468,27558200,21.6299991607666,21.1200008392334,118.0,195.0,46.0
0.03292735858025124,49301300,22.59000015258789,21.72999954223633,261.0,230.0,98.0
-0.04378532557426809,61124200,22.42000007629395,20.40999984741211,160.0,182.0,133.0
-0.03863075690492824,63183900,21.5,18.94000053405762,202.0,165.0,60.0
0.047508084910864105,39776900,21.70999908447266,20.64999961853027,58.0,61.0,7.0
0.0060185678620064825,39820400,21.80999946594238,20.65999984741211,201.0,144.0,9.0
0.006896534185299764,44224900,22.47999954223633,21.3700008392334,175.0,343.0,65.0
0.018058673833819743,39002400,22.5,21.77000045776367,164.0,277.0,113.0
0.052203730290629635,55260300,23.54000091552734,22.1299991607666,71.0,184.0,57.0
0.07151367626557369,93746800,25.94000053405762,24.20999908447266,59.0,35.0,0.0
-0.028606488867265117,47923600,25.25,24.30999946594238,101.0,90.0,45.0
0.0274245046996132,38540100,25.21999931335449,23.89999961853027,63.0,158.0,14.0
-0.018623444140246945,53228500,26.09000015258789,24.54999923706055,71.0,110.0,34.0
0.01081291781496518,49461200,25.11000061035156,23.8799991607666,31.0,115.0,72.0
-0.04783883312204158,42676000,24.70000076293945,23.76000022888184,13.0,32.0,15.0
-0.07004936838241253,55290700,23.65999984741211,22.07999992370605,49.0,44.0,20.0
-0.02109128854127705,44703900,23.18000030517578,21.76000022888184,26.0,95.0,22.0
0.042160780523566775,49746900,22.92000007629395,21.02000045776367,106.0,97.0,66.0
0.006977751647739735,36972400,23.29000091552734,22.28000068664551,72.0,89.0,24.0
-0.0008730012176726883,30700100,23.19000053405762,22.39999961853027,28.0,37.0,1.0
0.050165876854080006,39747900,24.20000076293945,23.02000045776367,59.0,18.0,24.0
-0.009205072142869662,29800300,24.1200008392334,23.61000061035156,23.0,57.0,4.0
-0.0016764043233660915,25956200,24.22999954223633,23.64999961853027,48.0,71.0,19.0
0.015270282248244043,33657000,24.85000038146973,24.15999984741211,1.0,28.0,9.0
-0.007065672488255555,31099400,24.5,23.90999984741211,20.0,53.0,5.0
-0.005432476352224731,27792500,24.59000015258789,23.81999969482422,50.0,12.0,4.0
-0.011839352691833659,28606600,23.8799991607666,22.6299991607666,32.0,31.0,8.0
-0.00467284191694202,21307700,23.67000007629395,23.25,44.0,17.0,46.0
-0.027498955578840613,27165700,23.31999969482422,22.71999931335449,29.0,14.0,4.0
-0.015514201673546443,44741600,22.64999961853027,21.65999984741211,25.0,59.0,21.0
-0.008493456396110351,33969600,23.35000038146973,22.20000076293945,14.0,65.0,43.0
-0.010845083035171838,34424100,22.67000007629395,21.70000076293945,11.0,40.0,32.0
-0.004539195233966054,25958000,22.36000061035156,21.8700008392334,33.0,30.0,17.0
-0.022273849957241753,27424900,21.98999977111816,21.3700008392334,0.0,0.0,23.0
-0.05792824492939785,48820800,21.02000045776367,19.95999908447266,25.0,0.0,42.0
0.030461655529572647,49376400,21.03000068664551,19.63999938964844,63.0,6.0,0.0
-0.04683610106381986,72635100,21.61000061035156,20.04000091552734,0.0,50.0,8.0
0.049265792773940636,47995300,21.20000076293945,20.18000030517578,0.0,32.0,14.0
0.042196019353183845,44349200,22.04999923706055,21.47999954223633,0.0,0.0,25.0
-0.012867678478875128,26767100,22.06999969482422,21.60000038146973,27.0,63.0,22.0
-0.0027649522503639984,22572100,21.88999938964844,21.47999954223633,0.0,84.0,0.0
-0.018779415033166935,34430900,22.14999961853027,21.20999908447266,24.0,45.0,24.0
0.019337020698509056,31608800,21.8799991607666,21.07999992370605,32.0,0.0,16.0
0.010478425584991194,27606100,22.01000022888184,21.39999961853027,,,
-0.024743262593732003,36050800,21.98999977111816,20.94000053405762,,,
0.0069540853339123,27984800,21.8700008392334,21.19000053405762,0.0,42.0,0.0
-0.0037226581925596603,25632600,21.75,21.15999984741211,80.0,81.0,0.0
0.023181828585538158,32022900,22.19000053405762,21.27000045776367,127.0,28.0,25.0
0.0,32570000,22.54000091552734,21.95999908447266,4.0,57.0,0.0
-0.019935109469610284,37417800,21.70000076293945,20.90999984741211,118.0,1.0,0.0
-0.03901731488497227,34605300,21.69000053405762,20.69000053405762,24.0,57.0,11.0
0.02121635431470876,35238700,21.42000007629395,20.6200008392334,75.0,7.0,23.0
0.05312502474657138,39182500,22.47999954223633,21.43000030517578,110.0,4.0,0.0
0.040685256848790846,40716100,23.39999961853027,22.10000038146973,28.0,0.0,0.0
0.00891337390632022,38662400,23.94000053405762,23.07999992370605,73.0,0.0,0.0
-0.025685684380707466,34558200,23.27000045776367,22.6200008392334,34.0,15.0,0.0
-0.01637163387785291,33606500,23.18000030517578,22.29000091552734,6.0,67.0,0.0
-0.0013292284914115955,26246500,23.04000091552734,22.51000022888184,0.0,38.0,39.0
0.018268816027635578,26159300,23.04999923706055,22.35000038146973,14.0,0.0,25.0
0.00947864377563364,50630500,24.17000007629395,23.11000061035156,7.0,0.0,82.0
0.028870315693337305,29812700,23.95000076293945,23.20000076293945,11.0,80.0,0.0
0.02169466557612873,36389500,24.48999977111816,23.68000030517578,44.0,85.0,1.0
-0.007838305934474696,30594400,24.81999969482422,24.1299991607666,25.0,142.0,4.0
0.017430089333035186,36502400,25.09000015258789,24.51000022888184,0.0,34.0,0.0
0.04453910271582205,57686200,26.04000091552734,24.64999961853027,,,
-0.03569993496805784,38254900,25.57999992370605,24.89999961853027,,,
-0.025925970695274757,28977300,25.18000030517578,24.26000022888184,,,
-0.0020618242086824917,21173200,24.77000045776367,24.18000030517578,,,
-0.0012386741327845333,26105600,24.48999977111816,23.86000061035156,,,
-0.015513581801542838,20289000,24.40999984741211,23.84000015258789,,,
-0.016624096854939704,28988300,24.23999977111816,23.26000022888184,65.0,145.0,0.0
0.0029749936306878682,24368000,23.73999977111816,23.39999961853027,69.0,298.0,0.0
-0.02348851330593497,22613100,23.73999977111816,22.93000030517578,,,
-0.008775728282422166,19062200,23.1299991607666,22.54999923706055,0.0,92.0,0.0
0.0017520371577915363,20296900,23,22.52000045776367,136.0,58.0,0.0
-0.026990571022268206,32879100,23.1299991607666,21.82999992370605,55.0,65.0,49.0
0.0026918515399975253,28009900,22.53000068664551,21.90999984741211,145.0,27.0,0.0
0.007126941736066119,26666200,22.54999923706055,21.90999984741211,59.0,1.0,0.0
-0.015377663645504733,22745000,22.3799991607666,21.85000038146973,142.0,8.0,0.0
0.004054060788058005,17394700,22.34000015258789,22.07999992370605,173.0,0.0,6.0
0.006711392213426736,22667500,22.5,21.95000076293945,14.0,80.0,71.0
-0.005850633309295796,18738600,22.47999954223633,22.06999969482422,86.0,43.0,5.0
-0.03880317659605549,48437800,22.09000015258789,21.13999938964844,0.0,5.0,0.0
-0.014705857071364223,29157400,21.39999961853027,21.02000045776367,193.0,30.0,0.0
0.006129145043753349,26231800,21.47999954223633,20.94000053405762,50.0,0.0,0.0
0.013947054449881553,22082700,21.79000091552734,21.32999992370605,150.0,0.0,0.0
-0.0013966800411944688,20814100,21.64999961853027,21.11000061035156,45.0,61.0,0.0
-0.022370266931667986,24176500,21.79000091552734,20.86000061035156,81.0,7.0,0.0
-0.03446581887475103,30857000,21.04999923706055,20.17000007629395,26.0,5.0,0.0
0.0019656469178140567,28539300,20.63999938964844,19.65999984741211,56.0,36.0,0.0
0.025849642123316433,21730900,21,20.5,77.0,0.0,0.0
-0.0023991956187361914,20782200,20.97999954223633,20.35000038146973,31.0,3.0,0.0
-0.04095902477895449,30951500,20.70000076293945,19.98999977111816,0.0,76.0,0.0
0.029097980458279975,55139500,21.56999969482422,20.43000030517578,0.0,75.0,0.0
-0.007820222967759851,34187500,21.05999946594238,20.14999961853027,13.0,102.0,5.0
-0.033855388476492464,34523500,20.72999954223633,19.71999931335449,16.0,64.0,3.0
-0.04322623257005536,63985800,19.20999908447266,18.28000068664551,13.0,26.0,0.0
0.07733463978059554,46295400,20.59000015258789,18.86000061035156,63.0,0.0,0.0
0.03925234427857345,52282600,21.54999923706055,20.75,,,
-0.011342144274519583,39028300,21.6200008392334,20.59000015258789,,,
0.0018868355701791937,29379200,21.69000053405762,21.02000045776367,,,
0.0398550345927219,31508800,22.11000061035156,20.94000053405762,,,
-0.028891000264859832,30301300,22.15999984741211,21.11000061035156,,,
0.007859458293567344,20077400,21.79000091552734,21.22999954223633,,,
-0.021728818271841064,19391300,21.78000068664551,21.17000007629395,,,
-0.03876354014028483,31284000,21.14999961853027,20.23999977111816,,,
-0.015952128780836402,27151300,20.85000038146973,19.98999977111816,25.0,0.0,0.0
-0.005513719237909562,36572600,20.07999992370605,19.30999946594238,55.0,0.0,0.0
-0.025706939865663827,30815400,19.95000076293945,19.35000038146973,44.0,56.0,0.0
0.0698230078970256,42900900,20.96999931335449,19.45000076293945,47.0,48.0,0.0
0.005233140245291031,28281000,21.21999931335449,20.52000045776367,0.0,84.0,0.0
-0.022373589677532838,32047600,20.79000091552734,20.05999946594238,8.0,56.0,0.0
0.018147137460536027,31320900,21.39999961853027,20.3799991607666,0.0,54.0,0.0
0.013659868790942185,39902300,21.48999977111816,20.47999954223633,0.0,91.0,0.0
-0.03915806290310612,30369400,21.11000061035156,20.30999946594238,61.0,14.0,0.0
-0.02973791068801641,30877500,20.54999923706055,19.75,64.0,0.0,0.0
